Синоптический_индекс_станции,Дата_по_Гринвичу,Сумма_осадков,Средняя_температура
26359,1992-11-14T06:00:00Z,20.1,-2.675
26359,2008-03-25T09:00:00Z,20.200000000000003,-2.125
26477,1978-12-13T21:00:00Z,20.4,-6.7
26702,1979-01-30T15:00:00Z,22.8,-3.4
26702,1983-11-22T09:00:00Z,20.8,-2.625
26702,2006-11-02T21:00:00Z,26.1,-0.5
26706,1979-01-30T15:00:00Z,31.5,-4.075
26781,1993-10-23T21:00:00Z,20.1,-2.05
26781,2013-03-15T06:00:00Z,20.200000000000003,-4.05
26976,2005-01-27T06:00:00Z,23.1,-11.5
27008,2009-12-26T06:00:00Z,21.2,-5.975
27208,2012-11-30T06:00:00Z,26.4,-9.275
27225,2013-02-04T18:00:00Z,28.3,-4.125
27277,2009-11-08T06:00:00Z,20.2,-0.875
27385,1993-10-17T00:00:00Z,22.6,-0.4666666666666667
27385,2013-03-19T06:00:00Z,22.4,-6.925
27208,2012-11-30T06:00:00Z,26.4,-9.275
27225,2013-02-04T18:00:00Z,28.3,-4.125
27277,2009-11-08T06:00:00Z,20.2,-0.875
27385,1993-10-17T00:00:00Z,22.6,-0.4666666666666667
27385,2013-03-19T06:00:00Z,22.4,-6.925
27612,1981-12-14T09:00:00Z,23.2,-2.875
27625,1996-12-15T18:00:00Z,23.7,-3.625
27648,1982-01-07T06:00:00Z,21,-17.575
27648,1986-02-24T06:00:00Z,20.6,-1.15
27648,1998-12-10T18:00:00Z,20.4,-1.825
27648,2006-11-27T06:00:00Z,24.4,-0.325
27707,1998-10-02T00:00:00Z,20.099999999999998,-0.5
27730,1985-01-09T15:00:00Z,23.3,-6.949999999999999
27756,1998-10-02T12:00:00Z,21.4,-0.4
27756,1998-12-10T06:00:00Z,20.1,-2.85
27823,1992-10-27T18:00:00Z,20.1,-2
27823,1998-04-07T21:00:00Z,21.4,-0.13333333333333333
27823,2016-01-18T18:00:00Z,20.1,-6.975
29313,1996-05-12T00:00:00Z,22.3,-1.675
29328,1979-11-18T03:00:00Z,20.8,-4.3
